pk_teuna_fikt,thum_geografi,sug_dereh,semel_yishuv,rehov1,rehov2,bayit,zomet_ironi,kvish1,kvish2,km,zomet_lo_ironi,yehida,shnat_teuna,hodesh_teuna,shaa,sug_yom,yom_layla,yom_bashavua,humrat_teuna,sug_teuna,had_maslul,rav_maslul,mehirut_muteret,tkinut,rohav,simun_timrur,teura,mezeg_avir,pne_kvish,sug_ezem,merhak_ezem,lo_haza,ofen_haziya,mekom_haziya,kivun_haziya,mahoz,nafa,ezor_tivi,maamad_minizipali,zurat_ishuv,status_igun,x,y,average_traffic_count
2014011840,1,4,0,,,,,40,0,1690,,34,2014,1,65,4,1,3,2,1,0,2,5,1,3,3,1,1,1,9,9,9,1,2,1,6,62,623,99,99,1,181424,562322,964.176428571429
2014011842,1,4,0,,,,,3,0,2480,,52,2014,2,65,4,1,6,2,2,0,3,5,1,5,4,1,1,1,9,9,9,0,0,9,4,44,441,99,99,1,179910,629792,451.866561181435
2014012201,1,4,0,,,,,20,0,130,,20,2014,3,67,4,1,7,2,3,0,1,3,1,4,3,1,1,1,9,9,9,0,0,9,5,51,511,99,99,1,179719,661591,3255.31770833333
2014012219,1,4,0,,,,,85,0,200,,12,2014,4,67,4,1,4,2,3,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,2,24,242,99,99,1,227288,758879,1049.7337962963
2014012340,1,4,0,,,,,2,0,240,,20,2014,4,67,3,1,6,2,4,1,0,5,1,5,3,1,1,1,9,9,6,0,0,9,5,51,511,99,99,1,182268,673991,1601.39583333333
2014012348,1,4,0,,,,,5714,0,10,,51,2014,3,67,4,1,3,2,5,2,0,4,1,3,3,1,1,1,9,9,9,0,0,9,4,12,412,99,99,1,200154,691946,804.4375
2014012350,2,4,0,,,,,367,0,99,,43,2014,2,67,4,1,1,2,5,2,0,4,1,3,3,1,2,2,9,9,9,0,0,9,7,77,77,99,99,1,208382,620068,482.072916666667
2014012383,1,3,0,,,,,2,,818,9970,11,2014,2,67,4,1,6,2,10,0,2,7,1,3,3,1,1,1,9,9,9,0,0,9,3,32,321,99,99,1,194345,727749,1601.39583333333
2014012676,1,4,0,,,,,20,0,200,,20,2014,1,68,4,5,5,2,4,1,0,5,1,4,3,10,1,1,9,9,9,0,0,9,5,51,511,99,99,1,181849,668126,4129.13541666667
2014012682,1,4,0,,,,,65,0,610,,14,2014,4,68,2,1,2,2,5,2,0,1,1,4,3,1,1,1,9,9,9,0,0,9,2,22,222,99,99,1,239452,733259,865.344655797101
2014012921,1,4,0,,,,,1,0,90,,52,2014,4,69,3,1,6,2,3,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,4,32,432,99,99,1,186640,655540,1818.63055555556
2014012943,1,4,0,,,,,1,0,164,,52,2014,4,69,4,1,3,2,3,3,0,4,1,3,3,1,1,1,6,9,9,0,0,9,4,43,432,99,99,1,192700,652722,2325.74722222222
2014013246,1,4,0,,,,,4,0,735,,38,2014,2,70,4,5,3,2,3,0,2,5,1,3,3,3,1,2,9,9,9,0,0,9,6,11,611,99,99,1,166336,627422,1149.90548245614
2014013297,1,3,0,,,,,232,241,271,1779,34,2014,4,70,4,1,5,2,5,3,0,5,1,3,3,1,1,1,9,9,9,0,0,9,6,22,622,99,99,1,146599,580446,380.133333333333
2014013366,1,4,0,,,,,780,0,20,,11,2014,1,71,4,5,4,2,2,3,0,3,1,3,3,5,1,1,9,9,9,0,0,9,3,11,311,99,99,1,209864,743430,497.229166666667
