כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
35,20,56.0,צומת גבעתי,159.0,צומת פלוגות,58.3,"0.23 ק""מ מצומת גבעתי",168293,617936
35,30,159.0,צומת פלוגות,172.0,כניסה לקריית גת,171.0,קרוב לכניסה לקרית גת,,
35,32,172.0,כניסה לקריית גת,185.0,צומת קריית גת (צפון),183.0,בין שדרות לכיש קרית גת ומסילת הברזל קרית גת,178854,613852
35,40,185.0,צומת קריית גת (צפון),325.0,צומת נחושה,232.0,"4.69 ק""מ מצומת קריית גת (צפון)",183149,611339
35,50,325.0,צומת נחושה,414.0,צומת,329.0,"0.38 ק""מ מצומת נחושה",191138,613386
38,10,0.0,צומת נחושה,100.0,צומת האלה,93.9,"0.61 ק""מ מצומת האלה",195020,621075
38,20,100.0,צומת האלה,150.0,כניסה לרמת בית שמש דר',103.0,"0.29 ק""מ מצומת האלה",194844,621961
38,28,150.0,כניסה לרמת בית שמש דר',196.0,צומת צרעה,179.0,"2.88 ק""מ מכניסה לרמת בית שמש דר'",197555,628000
38,30,196.0,צומת צרעה,229.0,צומת שמשון,223.0,"2.69 ק""מ מצומת צרעה",200226,631012
38,40,229.0,צומת שמשון,281.0,מחלף שער הגיא,239.0,"0.97 ק""מ מצומת שמשון",201428,632164
40,10,0.0,צומת קטורה,119.0,צומת שיזפון (עובדה),2.0,"0.2 ק""מ מצומת קטורה",207015,433528
40,11,119.0,צומת שיזפון (עובדה),382.0,צומת ציחור,380.0,"0.21 ק""מ מצומת ציחור",201760,465013
40,12,382.0,צומת ציחור,982.0,כניסה למצפה רמון,969.0,"1.26 ק""מ מהכניסה למצפה רמון",181515,502539
40,14,982.0,כניסה למצפה רמון,1198.0,כניסה לעבדת,1030.0,4.82 קמ' מצפון לכניסה למצפה רמון,181675,507676
40,16,1198.0,כניסה לעבדת,1340.0,צומת חלוקים,1339.0,כמאה מטר מצומת חלוקים,,
40,20,1340.0,צומת חלוקים,1475.0,צומת טללים,1473.0,כמאה מטר מצומת טללים,,
40,37,1818.0,צומת תל שבע,1933.0,צומת גורל,1897.0,"1.55 ק""מ מצומת גורל",180302,579899
40,40,2001.0,צומת להבים,2086.0,צומת קמה,2003.0,"0.21 ק""מ מצומת להבים",180349,587014
40,60,2307.0,צומת פלוגות,2438.0,צומת מלאכי (קסטינה),2420.0,"1.57 ק""מ מצומת קסטינה",177713,617830
40,72,2535.0,מחלף גדרה,2552.0,כניסה לגדרה,2544.0,"0.97 ק""מ מצומת גדרה",178156,635564
40,80,2552.0,כניסה לגדרה,2576.0,צומת תל נוף,2573.0,"2.16 ק""מ מכניסה לגדרה",179529,637981
40,90,2576.0,צומת תל נוף,2628.0,"צומת ביל""ו",2605.0,"2.92 ק""מ מצומת תל נוף",181543,640441
40,102,2700.0,מחלף רמלה דרום,2753.0,צומת גינתון,2750.0,"0.38 ק""מ מצומת גינתון",191422,651179
40,110,2753.0,צומת גינתון,2779.0,מחלף לוד,2773.0,"0.83 ק""מ מצומת גינתון",191047,652327
40,120,2779.0,מחלף לוד,2795.0,"כניסה לנתב""ג",2794.0,"0.53 ק""מ ממחלף לוד",191134,654370
40,130,2795.0,"כניסה לנתב""ג",2821.0,צומת תעשייה אווירית,2810.0,"1.00 ק""מ מכניסה לנתב""ג",191248,656323
40,140,2821.0,צומת תעשייה אווירית,2834.0,צומת הטייסים,2828.0,"1.12 ק""מ מצומת תעשייה אווירית",191332,657588
40,150,2834.0,צומת הטייסים,2898.0,צומת סירקין,2846.0,"0.22 ק""מ מצומת הטייסים",191426,659278
40,152,2898.0,צומת סירקין,2914.0,צומת גנים,2913.0,"0.27 ק""מ מצומת סירקין",190865,665802
40,170,2921.0,צומת סגולה,2940.0,מחלף ירקון,2936.0,"0.29 ק""מ מצומת סגולה",190656,667995
40,182,2940.0,מחלף ירקון,2964.0,צומת עדנים,2945.0,"0.51 ק""מ ממחלף ירקון",191104,670325
42,6,843.0,צומת גן דרום,855.0,מחלף בני דרום,847.0,"0.43 ק""מ מצומת גן דרום",172114,636554
42,10,855.0,מחלף בני דרום,888.0,צומת בן זכאי,869.0,"1.4 ק""מ מצומת בני דרום",173394,638458
42,20,888.0,צומת בן זכאי,928.0,צומת יבנה (צפון),887.0,"0.25 ק""מ מצומת בן זכאי",174370,639727
42,22,928.0,צומת יבנה (צפון),983.0,צומת בית עובד,935.0,"0.5 ק""מ מצומת יבנה (צפון)",176695,643372
42,26,983.0,צומת בית עובד,1024.0,מחלף עין הקורא,1010.0,2.74 מצומת בית עובד,179418,650177
42,30,1024.0,מחלף עין הקורא,1035.0,מחלף גן רווה,1033.0,כמאה מטר ממחלף גן רווה,,
44,10,0.0,צומת שמשון,103.0,צומת נחשון (הגבורה),78.6,2.44 מצומת נחשון,194541,635255
44,20,103.0,צומת נחשון (הגבורה),225.0,צומת גזר,196.0,"2.86 ק""מ מצומת גזר",189530,644498
44,30,225.0,צומת גזר,235.0,מחלף רמלוד,228.0,"0.32 ק""מ מצומת גזר",189299,647397
44,32,235.0,מחלף רמלוד,245.0,צומת מעשייהו (תעבורה),238.0,"0.27 ק""מ ממחלף רמלוד",188896,648251
44,40,245.0,צומת מעשייהו (תעבורה),261.0,צומת רמלה - צפון,252.0,"0.65 ק""מ מצומת מעשייהו",188036,649357
44,50,261.0,צומת רמלה - צפון,300.0,צומת צריפין,265.0,"0.42 ק""מ מצומת רמלה - צפון",187103,650142
44,60,300.0,צומת צריפין,341.0,צומת בית דגן,310.0,"1.01 ק""מ מצומת צריפין",184761,653937
45,810,0.0,צומת גבעת זאב,33.0,צומת עטרות,10.0,"1 ק""מ מצומת גבעת זאב",217895,641596
