pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2014000148,1,1,1,8600,521,506,,110121,,,,,20,2014,3,1,4,5,4,2,4,1,0,1,1,2,3,6,1,1,9,9,9,0,0,9,5,51,512,0,14,1,181730,665299
2014000154,1,1,4,0,,,,,98,0,150,,12,2014,2,1,4,5,7,3,4,3,0,4,1,3,4,4,1,1,9,9,9,0,0,9,2,94,294,99,99,1,261725,736840
2014000158,1,1,3,0,,,,,4,553,1392,335,51,2014,1,1,4,5,3,3,4,0,2,5,1,3,4,6,1,1,9,9,9,0,0,9,4,41,411,99,99,1,189983,684908
2014000160,1,2,2,3616,160,,1,,,,,,43,2014,1,1,4,5,4,3,4,3,0,1,1,2,1,6,1,1,9,9,9,0,0,9,7,77,777,0,16,3,228171,630678
2014000163,1,1,4,0,,,,,42,0,860,,52,2014,1,1,4,5,1,3,5,2,0,4,1,3,4,6,1,1,9,9,9,0,0,9,4,44,441,99,99,1,172888,637690
2014000165,1,1,1,6500,636,644,,8360001,,,,,11,2014,2,1,4,5,6,3,5,0,3,1,1,3,1,6,1,1,3,1,9,0,0,9,3,32,324,0,15,1,189865,705585
2014000166,1,2,4,0,,,,,60,0,1100,,43,2014,2,1,4,5,5,3,5,2,0,4,1,2,3,6,1,1,9,9,9,0,0,9,7,77,77,99,99,1,224451,650647
2014000167,1,1,4,0,,,,,38,0,160,,61,2014,2,1,4,5,5,3,5,2,0,4,0,3,3,6,1,1,9,9,9,0,0,9,1,11,112,99,99,1,196903,626264
2014000168,1,1,4,0,,,,,87,0,81,,12,2014,3,25,4,5,1,1,5,2,0,4,1,3,3,6,2,2,9,9,9,0,0,9,2,93,293,99,99,1,257966,756421
2014000170,1,1,2,9000,843,,9999,,,,,,34,2014,3,1,4,5,3,3,5,3,0,1,1,2,3,3,1,1,9,9,9,0,0,9,6,62,623,0,13,3,182345,573797
