כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
60,12,5.6,כניסה לעומר,12.8,צומת שוקת,12.3,"0.52 ק""מ מצומת שוקת",190250,579240
60,20,12.8,צומת שוקת,18.2,צומת לאל-זהרייה (דרום),13.2,"0.40 ק""מ מצומת שוקת",190945,579822
60,30,198.1,כניסה למוקייבלה,203.3,צומת יזרעאל,202.7,"4.67 ק""מ מכניסה למוקייבלה",230158,717696
60,34,203.3,צומת יזרעאל,209.7,"יישוב עפולה (לת""א)",203.6,"0.31 ק""מ מצומת יזרעאל",230094,718459
60,40,210.8,יישוב עפולה (לנצרת),215.5,צומת עדשים,215.4,כמאה מטר מצומת עדשים,227685,728780
60,50,215.5,צומת עדשים,221.2,צומת נצרת (דרום),215.8,כשלוש מאות מטר מצומת עדשים,227778,729577
60,823,69.9,צומת אל-חדר,75,צומת בית לחם (דרום),71.5,ליד גילה,219190,626408
65,30,6.1,צומת חדרה (מזרח),7.3,צומת אלון (שמורת אלון),6.4,"0.29 ק""מ מצומת חדרה (מזרח)",195911,705903
65,40,7.3,צומת אלון (שמורת אלון),9.9,צומת חנה,7.6,"0.35 ק""מ מצומת אלון",196917,706298
65,50,9.9,צומת חנה,10.8,צומת מנשה,10.2,"0.27 ק""מ מצומת חנה",199235,707373
65,60,10.8,צומת מנשה,14.5,צומת משמר הגבול,11.1,"0.30 ק""מ מצומת מנשה",199857,708061
65,62,14.5,צומת משמר הגבול,27.9,כניסה לאום אל-פחם,14.7,"0.16 ק""מ מצומת משמר הגבול",202796,709709
65,78,34.2,צומת מגידו,39.1,צומת הסרגל (תענכים),34.3,כמאה מטר מצומת מגידו,218466,719908
65,80,39.1,צומת הסרגל (תענכים),45,כניסה לעפולה (צפון),39.2,כמאה מטר מצומת הסרגל,224410,722645
65,90,45.1,יישוב עפולה (לבריכת שמואל),48.2,כניסה לגבעת המורה,48,"ע""י אבן קמ' 48 ע""י בית החולים העמק עפולה",228622,724674
65,100,60.6,צומת כפר תבור,70.5,מחלף גולני,69.2,"1.3 ק""מ מצומת גולני",238777,740988
