כביש,קטע,"ק""מ מ-",שם מ-,"ק""מ עד",שם עד,"ק""מ הצבה",הצבה,X של מקום ההצבה,Y של מקום ההצבה
553,10,0,מחלף פולג,5.7,מחלף דרור,5.5,כמאתיים מטר מצומת דרור,189003,684723
553,20,5.7,מחלף דרור,8.8,צומת תל מונד,6.6,"0.88 ק""מ מצומת דרור",190752,685087
553,22,8.8,צומת תל מונד,12.8,כניסה לעזריאל,9,"0.21 ק""מ מצומת תל מונד",194793,685280
554,10,0,צומת כפר סבא,3.5,צומת בית ברל,2,"כשני ק""מ מצומת כפר סבא",191714,677817
554,12,3.5,צומת בית ברל,8,כניסה לטירה,4,"0.49 ק""מ מצומת בית ברל",192537,678804
554,18,8,כניסה לטירה,11.9,צומת טירה,11.8,כמאה מטר מצומת טירה,198606,682080
562,10,0,צומת קדימה,4.2,כניסה לצורן,0.4,"0.41 ק""מ מצומת קדימה",192396,685705
574,2,4.9,צומת בחן,11.3,כניסה לבאקה אל-גרבייה,8,על יד הכניסה למגל,204140,699002
574,20,16.7,צומת נרבתה,20.1,צומת משמר הגבול,18.2,"1.45 ק""מ מצומת נרבתה",202092,707869
581,10,4,"צומת הרא""ה",15.2,כניסה למגל,4.3,"0.26 ק""מ מצומת הרא""ה",191382,700010
650,10,0,צומת אלון (שמורת אלון),3.2,צומת תל צבי,0.1,"0.14 ק""מ מצומת אלון",196733,706493
651,10,0,צומת קיט ושיט,8.1,צומת איטונג,3.2,כמאה מטר מצומת  פלים,194718,709538
652,3,0,צומת שפיה,1,כניסה לזכרון יעקב (ישן),0.3,300 מטר מצומת שפייה,205813,708116
652,5,1,כניסה לזכרון יעקב (ישן),3,כניסה לרמת בית צבי,1.1,"0.35 ק""מ מכניסה לזכרון יעקב",197005,720130
652,20,3,כניסה לרמת בית צבי,3.6,כניסה לרננים,3.1,"0.83 ק""מ מכניסה לרמת בית צבי",196418,718706
652,30,3.6,כניסה לרננים,9.2,יישוב בנימינה,6.8,"3.18 ק""מ מכניסה לרננים",195399,715503
652,38,9.2,יישוב בנימינה,10.1,צומת עדה,9.7,"0.55 ק""מ מיישוב בנימינה",195974,713065
652,40,10.1,צומת עדה,13.7,צומת איטונג,10.6,"0.49 ק""מ מצומת עדה",196489,712498
652,48,13.7,צומת איטונג,14.8,צומת תל צבי,13.8,"0.14 ק""מ מצומת איטונג",197812,709558
652,50,14.8,צומת תל צבי,16.5,צומת חנה,16.2,"1.41 ק""מ מצומת תל צבי",198900,707369
653,10,6.9,צומת בנימינה,9,יישוב בנימינה,7,"0.05 ק""מ מצומת בנימינה",193904,713767
653,20,10.1,צומת עדה,17.5,כניסה לרגבים,10.3,"0.19 ק""מ מצומת עדה",196448,713101
654,10,5,צומת שמורת אלוני יצחק,6.9,צומת אביאל,0.1,"0.13 ק""מ משמורת אלוני יצחק",199515,713840
667,10,0,צומת מעלה נורית,27.4,צומת שדי תרומות,0.1,"0.11 ק""מ מצומת מעלה נורית",231629,717692
669,10,0,צומת השיטה,3.7,כניסה לחפציבה,0.1,כמאה מטר מצומת השיטה,241247,716285
669,12,3.7,כניסה לחפציבה,13.3,צומת שלוחות-ניר דוד,12.1,"1.19 ק""מ צומת שלוחות (כביש 90)",246869,709144
671,10,0,כניסה לעפולה (כביש ישן),2.5,יישוב עפולה (לחדרה),0.1,באמצע הכביש הישן,224532,722767
672,10,12.1,כניסה לאבן יצחק,23,מחלף אליקים,22.8,"0.16 ק""מ ממחלף אליקים",206733,726846
672,20,23,מחלף אליקים,32.5,כניסה לדאלית אל-כרמל,23.5,"0.55 ק""מ ממחלף אליקים",205990,727181
672,28,32.5,כניסה לדאלית אל-כרמל,40.1,צומת דמון,40,"0.33 ק""מ מצומת דמון",204258,737802
672,30,40.1,צומת דמון,43.6,יישוב חיפה (לאוניברסיטה),40.2,"0.11 ק""מ מצומת דמון",203871,737833
675,10,0,צומת הסרגל (תענכים),12.6,צומת נבות,0.2,"0.22 ק""מ מצומת הסרגל",222971,721667
716,5,0,צומת יששכר,3.2,צומת נעורה,0.3,"0.31 ק""מ מצומת יששכר",236603,718928
716,10,3.2,צומת נעורה,13.4,צומת לתמרה (צפון),12.5,"0.92 ק""מ מצומת לתמרה",235508,727629
717,20,3.2,צומת נעורה,6.9,כניסה למולדת,3.8,600 מטר מצומת נעורה,237895,720517
721,10,0,מחלף עתלית,1.7,צומת עתלית,0.9,"0.94 ק""מ ממחלף עתלית",196697,735221
721,20,2,צומת אורן,11.3,צומת דמון,2.3,"0.3 ק""מ מצומת אורון",197830,735575
722,10,0,צומת התשבי,5.2,צומת השומרים,0.5," 0.54 ק""מ ממחלף התשבי",210881,731252
752,20,0,מחלף הקריות,5.8,מחלף יגור,5.7,כמאה מטר מצומת יגור,206268,739833
754,12,57.2,כניסה למשהד,60.9,צומת בית רימון,60.6,"3.4 ק""מ מכניסה למשהד",232728,740610
767,10,16,צומת אלומות,19.3,צומת כנרת,16.2,"0.24 ק""מ מצומת אלומות",251755,735733
768,10,0,צומת אלומות,10.4,צומת פורייה,10.2,"0.15 ק""מ מצומת פוריה",246797,743393
781,20,5,צומת כפר אתא,8.3,מחלף גלעם,6.9,"1.89 ק""מ מצומת קרית אתא",211530,747431
781,30,8.3,מחלף גלעם,10.1,צומת אבליים,8.6,"0.35 ק""מ ממחלף גלעם",213018,747650
781,40,10.1,צומת אבליים,19,צומת מורשת,10.9,"0.79 ק""מ מצומת אבליים",215074,747666
784,10,18,צומת יובלים,25,מחלף גשר מוטה גור,18.9,"0.88 ק""מ מצומת יובלים",224982,752705
784,20,25,מחלף גשר מוטה גור,26.2,צומת כרמיאל מערב,26.1,"1.10 ק""מ ממחלף גשר מוטה גור",226569,758480
805,10,0,צומת יבור,23.7,צומת חנא,0.2,"0.22 ק""מ מצומת יבור",217677,755406
807,10,0,צומת מגדל,7.1,צומת נחל צלמון (דרום),0.1,כמאתיים מטר מצומת נחל צלמון,246907,749000
807,20,7,צומת נחל צלמון (צפון),12.3,צומת מע'ר,7.1,כמאה מטר מצומת נחל צלמון,242681,753232
808,720,19.9,צומת דליות,30.3,צומת המפלים,20.5,"0.56 ק""מ מצומת דליות",272860,756353
854,10,0,צומת כרמיאל,20,צומת תפן,0.1,כמאה מטר מצומת תפן,226850,767731
866,10,31.5,צומת חנניה,43.2,צומת מירון,31.8,"0.32 ק""מ מצומת חנניה",238613,759251
869,710,0,צומת מעלה גמלא,16.1,צומת דליות,15.5,"15.52 ק""מ מצומת מעלה גמלא",272630,755715
886,2,39.3,צומת עין זיתים,60.1,צומת רמות נפתלי,39.8,"0.54 ק""מ מצומת עין זיתים",245823,766266
886,20,61.2,צומת מצודת ישע,78.3,כניסה למשגב עם,62,"0.39 ק""מ מצומת מצודת ישע",251687,779984
899,10,0,צומת בצת,3.3,צומת שלומי,1.6,"1.6 ק""מ מצומת בצת",211483,775583
899,16,3.3,צומת שלומי,6.7,צומת אדמית,3.9,"0.59 ק""מ מצומת חניתה",215046,775159
899,20,6.7,צומת אדמית,35,צומת חירם,34.9,כמאה מטר מצומת חירם,225288,775690
899,30,35.3,צומת חירם (דובב),42.8,צומת אביבים (דרום),35.4,כמאתיים מטר מצומת חירם,239245,771727
899,36,42.8,צומת אביבים (דרום),60.4,צומת מצודת ישע,43,ליד צומת אביבים,247651,777522
899,40,60.4,צומת מצודת ישע,64.9,"צומת כ""ח",64.3,"3.77 ק""מ מצומת מצודת ישע",253471,780694
918,30,34.6,צומת שמורת נחל רחום,41,צומת חורשת טל,39.9,כמאה מטר מצומת חורשת טל,261188,789221
977,10,0,צומת גומא,7.3,צומת להבות הבשן,2.1,"2.09 ק""מ מצומת גומא",255508,785644
2200,10,0,כניסה ליבול,4.4,צומת,0,אחרי הצומת לכיוון יבול,138758,568832
2211,10,0,צומת אבשלום,6.7,כניסה לנווה,0.1,מאה מטר מצומת אבשלום,135957,570437
2310,10,10.7,צומת צוחר (מבטחים),14.6,כניסה לשדה ניצן,14,כמאה מטר מצומת מבטחים,143224,574000
2357,10,0,צומת חצרים,6.3,כניסה לחצרים,3.3,"3.31 ק""מ מצומת חצרים",176204,572369
2410,10,0,צומת מעון,8.7,צומת כיסופים,0.4,"0.39 ק""מ מצומת מעון",146256,580645
2414,10,0,צומת אופקים,1.6,כניסה למסלול (מזרח),0.1,כמאה מטר מצומת אופקים,162293,581378
2422,10,0,צומת שוקדה,4,כניסה לשוקדה,0.1,"0.06 ק""מ מצומת שוקדה",158098,595523
2444,10,0,צומת שרשרת,3.8,כניסה לשיבולים (דרום),0.4,"0.44 ק""מ מצומת שרשרת",162233,591477
2499,10,0,צומת נאות הכיכר,8,כניסה לנאות הכיכר,0.2,"0.2 ק""מ מצומת נאות הכיכר",232686,544841
2544,10,0,צומת לתאשור,2.5,כניסה לברוש,0.2,"0.25 ק""מ מצומת לתאשור",165149,585426
2932,10,0,צומת ניר משה,4,כניסה לניר משה,0.4,"0.42 ק""מ מצומת ניר משה",166873,595701
3199,10,0,צומת ערד,20,כניסה למצדה - מערד,0.1,כמאה מטר מצומת ערד,193695,620300
3403,10,0,צומת איתן (אבן שמואל),1.6,כניסה לשלווה ולאחוזם,0.2,"0.17 ק""מ מצומת איתן",177329,609048
3411,10,0,צומת זיקים,4.2,כניסה לזיקים,0.2,"0.18 ק""מ מצומת זיקים",159222,612463
3412,10,0,צומת תלמי יפה,4.3,כניסה לגיאה,0.3,"0.3 ק""מ מצומת תלמי יפה",162258,617953
3413,10,0,צומת ניר חן,1,כניסה לניר חן,0.2,"0.21 ק""מ מצומת ניר חן",172134,613654
3415,10,0,צומת לכיש,10.9,כניסה לאמציה,0.1,כמאה מטר מצומת לכיש,184664,610336
3500,10,0,צומת משען,2.2,צומת ניר ישראל,0.2,"0.09 ק""מ מצומת ניר ישראל",165557,620765
3533,10,0,צומת קוממיות,2,כניסה לרווחה צפון,0.1,כמאה טר מצומת קוממויות,177375,617807
3544,10,0,צומת לי און,0.9,כניסה לגבעת ישעיהו,0.3,"0.33 ק""מ מצומת לי און",194248,620001
3553,10,0,צומת נחלה,1.1,כניסה לסגולה,0.3,"0.30 ק""מ מצומת נחלה",178644,619427
3613,10,0,צומת זרחיה-שפיר,1.4,כניסה לשפיר,0.2,"0.17 ק""מ מצומת זרחיה-שפיר",173661,623589
3631,10,0,צומת כפר הנוער ניצנים,1.4,כניסה לכפר הנוער ניצנים,0.1,כמאה מטר מצומת ניצנים,165666,626118
3703,10,0,צומת טוביה,11.5,כניסה לגן יבנה (דרום),1.5,"1.47 ק""מ מצומת טוביה",175005,626712
3711,10,0,צומת אמונים,3.7,כניסה לעזריקם,0.2,"0.16 ק""מ מצומת אמונים",168239,628955
3712,10,0,צומת לאמונים,2,כניסה לגבעתי,0.2,"1.6 ק""מ מצומת לאמונים",169836,626768
3811,10,0,צומת ביצרון,1,צומת,0.1,"0.04 ק""מ מצומת ביצרון",175092,633829
3835,10,0,צומת צרעה,4.5,כניסה לאכסניה(גבעת שמש),0.1,"0.18 ק""מ מצומת צרעה",198397,629336
3855,10,0,צומת בית שמש (מרכז ביג),2,צומת מחסיה,0.2,"1.52 ק""מ מצומת בית שמש",200049,628863
3855,20,2,צומת מחסיה,8.8,צומת זנוח,2.6,"0.55 ק""מ מצומת מחסיה",200194,627981
3856,10,0,צומת הרטוב,0.2,"כניסה לביח""ר נשר",0,100 מטר מדרך 38,,
3866,10,0,צומת מחסיה,9,צומת נס הרים,8.3,"0.07 ק""מ מצומת נס הרים",200355,628687
3877,10,0,כניסה לאורה,5.6,כניסה ליד קנדי,1.1,"1.13 ק""מ מכניסה לאורה",215184,629351
3922,10,0,צומת חצור אשדוד,3.4,צומת ביצרון,0.3,"0.29 ק""מ מצומת חצור אשדוד",177538,634043
3922,20,3.4,צומת ביצרון,4.9,כניסה לחצור אשדוד,3.5,"0.15 ק""מ מצומת ביצרון",175111,633698
3955,10,0,מחלף שורש,1.4,כניסה לשורש,0.4,"0.39 ק""מ ממחלף שורש",207250,633771
3965,10,13,צומת הר איתן - סטף,16.9,מחלף הראל,13.4,"0.53 ק""מ מצומת הר איתן - סטף",212646,631848
3975,10,0,כניסה למעלה החמישה,2.2,מחלף חמד,2,2.0 מכניסה למעלה חמישה,211816,634250
3985,10,0,צומת מעוז ציון (רח שבע אחיות),2.2,צומת מוצא עילית,0.1,ליד צומת מוצא עילית,214757,633471
4000,10,0,צומת בית רבן,0.9,כניסה לקבוצת יבנה,0.2,"0.15 ק""מ מצומת בית רבן",174620,636329
4101,10,0,צומת כפר מרדכי,1.5,כניסה לכפר מרדכי,0.1,"0.10 ק""מ מצומת כפר מרדכי",175071,637144
4102,10,0,צומת בית רבן,3.8,צומת בן זכאי,0.2,"0.24 ק""מ מצומת בית רבן",174768,636600
4103,10,0,צומת תל נוף,2.8,צומת,0.2,"0.24 ק""מ מצומת תל נוף",179872,638084
4111,10,0,צומת יבנה (צפון),6,כניסה למרכז מחקר,0.3,"0.29 ק""מ מצומת יבנה (צפון)",176230,642976
4233,10,0,צומת נען,2.4,כניסה לרמות מאיר,0.5,"0.54 ק""מ מצומת נען",184805,643491
4243,10,0,צומת פדיה,0.5,כניסה לפדיה,0.1,"0.5 ק""מ מצומת פדיה",189665,641082
4303,10,0,צומת בית עובד,2.7,צומת נס ציונה,1.7,"1.76 ק""מ מצומת בית עובד",180148,647770
4304,10,0,צומת מצליח,0.9,כניסה למצליח,0.2,"0.26 ק""מ מצומת מצליח",187486,647093
4311,3,0,צומת אזור תעשייה,0.5,צומת לגן שורק,0.3,לפני המחלף,,
4311,5,0.5,צומת לגן שורק,1.5,כניסה לנטעים,1.4,נתונים מגלאי,,
4311,10,1.5,כניסה לנטעים,8.6,כניסה לפלמחים (מערב),1.4,"0.04 ק""מ מכניסה לנטעים",178674,650715
4313,10,0,מחלף נס ציונה,6.5,כניסה לצריפין  שער י-ם,2,"כ-2 ק""מ מהצומת עם דרך 214",182990,649939
4313,20,6.5,כניסה לצריפין  שער י-ם,7.4,צומת ניר צבי,7.3,כמאה מטר מצומת ניר צבי,186187,651000
4314,10,0,צומת מודיעים (גימזו),1.9,כניסה לגמזו,0.1,כמאה מטר מצומת מודעים,194059,649409
4402,10,0,"צומת חב""ד",1.5,"כניסה לכפר חב""ד",0.2,"0.19 ק""מ מצומת חב""ד",184870,654242
4404,10,0,צומת גשר לוד (לוד העתיקה),3.6,כניסה לאחיעזר,3.3,"3.32 ק""מ מצומת גשר לוד",188650,654417
4503,10,0,מחלף בן גוריון,1.5,"כניסה לנתב""ג",1.3,"1.3 ק""מ ממחלף בן גוריון",191081,655289
4612,20,0.6,צומת בר אילן (רמת אילן),1.8,כניסה לקריית קריניצי,0.7,כמאה מטר מהכניסה לבר אילן והצומת,185329,663553
4613,10,2,צומת ברקת,4.5,צומת המחצבות,2.2,"0.24 ק""מ מצומת ברקת",193426,658284
4622,10,0,צומת סביון,1.4,כניסה לגני יהודה ולסביון,0.5,כחמש מאות מטר מצומת סביון,187536,660906
4623,10,0,צומת רינתיה-מזור,1.7,כניסה לרינתיה,0.6,"0.59 ק""מ מצומת רינתיה מזור",191815,661666
5050,10,0,צומת כפר קאסם (מערב),6.3,צומת שערי תקווה,4.5,"4.47 ק""מ מצומת כפר קאסם",199629,669690
5112,10,0,צומת לנווה ירק,1.3,כניסה לנווה ירק,0.1,"0.12 ק""מ מצומת לנווה ירק",192282,671614
5443,10,0,צומת נווה ימין (מערב),2.1,צומת נווה ימין,0.1,"0.14 ק""מ מצומת נווה ימין",194431,675817
5503,10,0,צומת בית ברל,0.6,כניסה לבית ברל,0.6,"0.62 ק""מ מצומת בית ברל",192841,678356
5504,10,0,צומת כפר סבא (מזרח),3.4,מחלף אייל,1.2,"1.23 ק""מ מצומת כפר סבא (מזרח)",195631,677432
5504,820,3.5,צומת אייל,6.3,צומת צופין,3.7,"0.2 ק""מ מצומת אייל",,
5511,10,0,צומת בני ציון,2.5,כניסה לבני ציון,1.8,ליד כביש 551 מהכיכר לכיוון בני ציון,188520,680861
5522,10,0,צומת תל מונד,4,כניסה למשמרת,0.3,"0.33 ק""מ מצומת תל מונד",193178,685217
5531,10,0,כניסה לחירות (מזרח),3,כניסה לכפר הס (צפון),0.1,"0.07 ק""מ מהכניסה לחירות",193460,685222
5532,10,0,צומת עין ורד,0.2,כניסה לעין ורד,0.1,"0.14 ק""מ מצומת עין ורד",193662,685425
5533,10,0,צומת צור נתן,2.5,צומת,0.2,"0.22 ק""מ מצומת צור נתן",199485,683113
5611,10,0,מחלף גשר השלום,4.3,כניסה לבית יהושע (צפון),1.5,כמאה מטר מצומת הדסים,188201,687941
5613,10,0,צומת פרדסייה,3.7,כניסה לגאולים,0.5,"0.52 ק""מ מצומת פרדסייה",191383,690072
5613,18,3.7,כניסה לגאולים,7.5,צומת ינוב,7.3,"3.63 ק""מ מכניסה לגאולים",196200,691103
5614,10,0,צומת קלנסווה,5.2,צומת שער אפרים,0.1,כמאה מטר מצומת שער אפרים,198683,690674
5700,10,0,צומת בית יצחק,4.2,צומת כפר חיים,0.3,"0.25 ק""מ מצומת בית יצחק",189804,692312
5702,10,0,כניסה לנורדייה,0.5,צומת נורדייה,,,190689,692272
5704,10,0,צומת בארותיים,0.9,כניסה לבארותיים,0.2,"0.16 ק""מ מצומת בארותיים",199088,691085
5711,10,3,צומת רופין,7.5,כניסה לחניאל,3.6,"0.59 ק""מ מצומת רופין",192122,694490
5714,10,0,צומת ניצני עוז,6.6,צומת בחן,0.1,"0.11 ק""מ מצומת ניצני עוז",200130,691031
5803,10,0,צומת המעפיל,5.8,צומת גן יאשיה,0.3,"0.29 ק""מ מצומת המעפיל",199528,698481
5923,10,0,צומת מצר,2.6,כניסה למצר,0,לא מוגדר,202613,704721
6353,10,0,צומת לאום אל-קוטוף,4.3,כניסה לאום אל-קוטוף,0.1,מאה מטר מכביש 574,202201,708594
6400,10,0,צומת משהד,2.5,כניסה לעין מאהל,0.3,"0.32 ק""מ מצומת משהד",230749,736828
6403,10,16.6,צומת נרבתה,19.7,צומת מנשה,16.8,"0.24 ק""מ מצומת מנשה",201906,706464
6502,10,0,צומת מנשה,2.7,צומת כרכור,2.4,"2.41  ק""מ מצומת מנשה",199476,708165
6511,10,0,צומת אור עקיבא,3.4,כניסה לעתיקות קיסריה,1.7,"1.67 ק""מ מצומת אור עקיבא",192005,712340
6513,10,0,צומת לברטעה (קציר),8.8,צומת אום א- ריחן,0.2,"0.21 ק""מ מצומת לברטעה",206828,711680
6522,10,0,צומת גבעת עדה,0.5,כניסה לאלוני יצחק,0.1," 0.1 ק""מ מצומת גבעת עדה",200568,713237
6533,10,0,צומת אביאל,5.5,כניסה לעמיקם,0.1,כמאה מטר מדרך מצומת אביאל,199540,715929
6666,10,0,צומת למעלה גלבוע,7.5,צומת מצפה גלבוע,0.2,"0.24 ק""מ מצומת למעלה גלבוע",241743,713003
6667,10,8.7,צומת תל שובה,12.8,כניסה לבית שאן רח שאול המלך,10,"0.23 ק""מ מצומת תל שובה",244055,711702
6678,10,0,צומת טירת צבי,5.2,כניסה לשדה אליהו,0.3,"0.25 ק""מ מצומת טירת צבי",247266,709298
6688,10,0,צומת מעוז חיים,4.5,כניסה לכפר רופין,0.3,300 מטר מצומת מעוז חיים,252327,711175
6714,10,0,צומת ניר יפה,1.4,כניסה למלאה,0.5,בין צומת גדיש ומלאה,223663,719961
6724,10,0,צומת דבורה,3.1,כניסה לרם און,0.3,"0.32 ק""מ מצומת דבורה",224740,719187
6734,10,0,כניסה ליעל,1.5,כניסה לאביטל,0.1,כמאה מטר מצומת יזרעאל,229210,717610
6954,10,0,צומת רמת השופט,1.9,כניסה לעין השופט,0.1,מאה מטר מצומת רמת השופט,209258,723525
7011,10,0,צומת נחשולים,2.9,כניסה לנחשולים,0.4,"0.36 ק""מ מצומת נחשולים",195326,723736
7021,10,0,צומת עופר,2,"כניסה לכרם מהר""ל",0.3,"0.34 ק""מ מצומת עופר",196786,727260
7078,10,11.6,יישוב בית שאן תל סהרון,12.9,צומת בית שאן (מערב),12.3,"0.07 ק""מ מיישוב בית שאן תל סהרון",246832,713092
7079,10,0,צומת בית שאן-נווה איתן,2.2,צומת תל אשתורי,0.2,"1.68 ק""מ מצומת בית שאן נוה איתן",249011,711137
7107,10,0,צומת תל יוסף,0.4,כניסה לבית חיים שטורמן,0.4,"0.37 ק""מ מצומת תל יוסף",237349,717800
7110,10,0,מחלף עתלית,2.5,כניסה לנווה ים,0.8,"0.77 ק""מ ממחלף עתלית",195454,734994
7111,10,0,צומת עין הוד,2.2,כניסה לניר עציון,0.4,"0.42 ק""מ מצומת עין הוד",197752,734182
7155,10,0,צומת מרחביה,1,כניסה לכפר סולם,0.4,בין צומת מרחביה וקיבוץ מרחביה,230130,723536
7212,10,0,צומת מערת נשרים,6.1,צומת נשר,5.8,"5.85 ק""מ מצומת מערת נשרים",205181,741009
7213,10,0,צומת אלרואי,1,כניסה לקרית טבעון,0.2,"0.18 ק""מ מצומת אלרואי",209803,736420
7255,6,14,כניסה לכפר ברוך,17.9,צומת ברוך,17.8,מאה מטר מצומת ברוך,226790,723307
7255,10,17.9,צומת ברוך,20,צומת מ`העמק (כיכר העיר),18.4,"4.38 ק""מ מצומת ברוך",222520,729970
7266,10,0,צומת תבור,5.3,כניסה לשבלי (מערב),0.1,כמאה מטר מצומת תבור,237093,729789
7276,10,0,צומת גזית,7.1,כניסה לגזית,0.3,"0.32 ק""מ מצומת גזית",239177,731306
7513,10,5.8,צומת אלונים,11.8,כניסה לבית לחם הגלילית,6.5,"0.66 ק""מ מצומת אלונים",213760,735443
7555,10,0,צומת מ`העמק (כיכר העיר),2.5,צומת מגדל העמק מערב,0.3,"0.29 ק""מ מצומת מ'העמק (כיכר העיר)",221781,733031
7579,10,0,צומת לבית זרע,0.6,כניסה לבית זרע,0.2,200 מטר מצומת לבית זרע,254789,732666
7589,10,0,צומת מסדה,1.3,כניסה למסדה,0.5,בין צומת מסדה למסדה,256105,732410
7626,10,0,צומת נהלל,10,כניסה לכעביה,0.1,"0.08 ק""מ מצומת נהלל",219869,734106
7677,10,0,צומת פורייה עילית,6.3,צומת האכסניה,0.1,"0.50 ק""מ מצומת פורייה עילית",251144,738121
7703,10,0.6,צומת אושה,1.9,כניסה לכפר המכבי,1,"0.90 ק""מ מצומת אושה",210489,744661
7707,10,0,צומת לביא,1,כניסה להודיות,0.4,כניסה ללביא,230766,737844
7717,10,0,צומת כפר חיטים,6.7,כניסה לקבר יתרו,0.2,כמאתיים מטר מצומת כפר חיטים,245469,745286
7926,10,0,צומת ציפורי,1.3,כניסה לציפורי,0.3,300 מטר מצומת ציפורי,225998,737666
8077,10,0,צומת חוקוק,3.8,כניסה לרמות לבנים,0.1,כמאה מטר מצומת חוקוק,250027,752473
8177,10,0,צומת מנזר הר נחום,1,כניסה למנזר הר נחום,0.2,200 מטר מצומת מנזר הר נחום,252232,754808
8277,10,0,צומת כורזים,8.1,צומת אלמגור,0.2,200 מצומת כורזים,251749,756646
8611,10,0,צומת רגבה,1.3,כניסה לרגבה (צפון),0.2,"0.19 ק""מ מצומת רגבה",209416,764804
8677,10,0,צומת כפר הנשיא,4.2,כניסה לטובא,0.2,200 מצומת כפר הנשיא,252173,763897
8900,10,48.6,צומת עין זיתים,52.2,צומת צפת,49,"0.38 ק""מ מצומת עין זיתים",245655,765913
8911,10,0,צומת עבדון,5,כניסה למנות,,,218263,771415
8933,10,18.2,צומת אבן מנחם,27.2,צומת הר בירנית,18.4,200 מטר מצומת אבן מנחם,227042,775681
8944,10,0,צומת אלקוש,9.9,צומת בירנית,0.1,כמאה מטר מצומת אלקוש,230800,769729
8966,12,5.8,צומת אביבים (דרום),8.4,צומת ריחאנייה,6,200 מטר מצומת אביבים,244240,773448
9778,10,0,צומת כפר בלום,3.3,צומת שדה נחמיה,0.1,כמאה מטר מהצומת כפר בלום,257267,786958
9779,2,0,צומת קריית שמונה,5.1,צומת שדה נחמיה,4,"3.97 ק""מ מצומת קריית שמונה",256533,788623
9779,10,5.1,צומת שדה נחמיה,8.2,צומת שמורת נחל רחום,8,"בק""מ  8",258601,787289
9888,10,0,צומת בית הלל,4,צומת הגושרים,0.1,כמאה מטר מצומת בית הלל,257083,790341
